     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
        36    0.3440000000E+03    0.3432806671E+03    0.4515000000E+04    0.4717440421E+01    0.1278550467E-03
        37    0.3690000000E+03    0.3786652220E+03    0.4515000000E+04    0.3017483954E+01    0.8431302801E-04
        38    0.3250000000E+03    0.3567452130E+03    0.4386000000E+04    0.3771955373E+01    0.7243930636E-04
        39    0.3380000000E+03    0.3714327520E+03    0.4644000000E+04    0.3535559827E+01    0.9292485549E-04
        40    0.3620000000E+03    0.3360771746E+03    0.4257000000E+04    0.4624105147E+01    0.1072770120E-03
        41    0.3610000000E+03    0.3858304245E+03    0.4902000000E+04    0.3208384301E+01    0.8175544687E-04
        42    0.3850000000E+03    0.3607052126E+03    0.4257000000E+04    0.3481906014E+01    0.8950289017E-04
        43    0.3480000000E+03    0.3474911332E+03    0.4128000000E+04    0.3777956872E+01    0.5463583815E-04
        44    0.3680000000E+03    0.3828126380E+03    0.4773000000E+04    0.3319480406E+01    0.1275580258E-03
        45    0.3410000000E+03    0.3576307167E+03    0.4515000000E+04    0.3977662242E+01    0.9479768786E-04
        46    0.3650000000E+03    0.3637872598E+03    0.4773000000E+04    0.4093637151E+01    0.1082080925E-03
        47    0.3250000000E+03    0.3350678332E+03    0.4128000000E+04    0.4429274074E+01    0.8657714540E-04
        48    0.5130000000E+03    0.4828372942E+03    0.7965000000E+04    0.3519509845E+01    0.2369822485E-03
        49    0.4480000000E+03    0.4827287693E+03    0.7965000000E+04    0.3447260470E+01    0.2134330285E-03
        50    0.4650000000E+03    0.4631902949E+03    0.7965000000E+04    0.4286236018E+01    0.2069951587E-03
        51    0.4460000000E+03    0.4610477365E+03    0.7788000000E+04    0.4102924513E+01    0.1940828402E-03
        52    0.4370000000E+03    0.4418785234E+03    0.7434000000E+04    0.4458046444E+01    0.1886153846E-03
        53    0.5020000000E+03    0.4970356595E+03    0.8496000000E+04    0.3627087459E+01    0.2450511027E-03
