     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
        38    0.3250000000E+03    0.3577122590E+03    0.6068000000E+02    0.3333333333E+01
        39    0.3380000000E+03    0.4031232798E+03    0.6493500000E+02    0.1500000000E+02
        40    0.3620000000E+03    0.3511955877E+03    0.5531500000E+02    0.5000000000E+01
        41    0.3610000000E+03    0.3998989505E+03    0.6845000000E+02    0.1148936170E+02
        42    0.3850000000E+03    0.3821586345E+03    0.5679500000E+02    0.1395348837E+02
        43    0.3480000000E+03    0.3490558909E+03    0.5642500000E+02    0.3529411765E+01
        44    0.3680000000E+03    0.4004587047E+03    0.6549000000E+02    0.1375000000E+02
        45    0.3410000000E+03    0.3549650473E+03    0.6179000000E+02    0.1666666667E+01
        46    0.3650000000E+03    0.3677928096E+03    0.6567500000E+02    0.3076923077E+01
        47    0.3250000000E+03    0.3856046438E+03    0.5790500000E+02    0.1428571429E+02
        48    0.5130000000E+03    0.5061837074E+03    0.1144800000E+03    0.1344827586E+02
        49    0.4480000000E+03    0.4958399853E+03    0.1120950000E+03    0.1178571429E+02
        50    0.4650000000E+03    0.4910027133E+03    0.1166000000E+03    0.7058823529E+01
        51    0.4460000000E+03    0.4650987827E+03    0.1110350000E+03    0.2608695652E+01
        52    0.4370000000E+03    0.4533501898E+03    0.1054700000E+03    0.2727272727E+01
        53    0.5020000000E+03    0.5104150508E+03    0.1208400000E+03    0.1034482759E+02
        54    0.4650000000E+03    0.4923668081E+03    0.1205750000E+03    0.4705882353E+01
        55    0.4750000000E+03    0.4941143885E+03    0.1094450000E+03    0.1309090909E+02
        56    0.5040000000E+03    0.5112485470E+03    0.1226950000E+03    0.9310344828E+01
        57    0.4860000000E+03    0.4837306993E+03    0.1163350000E+03    0.4897959184E+01
        58    0.4520000000E+03    0.4794962228E+03    0.1049400000E+03    0.1153846154E+02
        59    0.4590000000E+03    0.4591567101E+03    0.9288000000E+02    0.1344827586E+02
        60    0.4150000000E+03    0.4497927171E+03    0.9094500000E+02    0.1178571429E+02
        61    0.4370000000E+03    0.4431048457E+03    0.9460000000E+02    0.7058823529E+01
        62    0.4150000000E+03    0.4194869496E+03    0.9008500000E+02    0.2608695652E+01
        63    0.4010000000E+03    0.4100243913E+03    0.8557000000E+02    0.2727272727E+01
        64    0.4630000000E+03    0.4607754425E+03    0.9804000000E+02    0.1034482759E+02
        65    0.4420000000E+03    0.4428360586E+03    0.9782500000E+02    0.4705882353E+01
        66    0.4380000000E+03    0.4491557082E+03    0.8879500000E+02    0.1309090909E+02
        67    0.4680000000E+03    0.4608469272E+03    0.9954500000E+02    0.9310344828E+01
        68    0.4520000000E+03    0.4359416905E+03    0.9438500000E+02    0.4897959184E+01
        69    0.4220000000E+03    0.4363881419E+03    0.8514000000E+02    0.1153846154E+02
        70    0.4130000000E+03    0.4121297128E+03    0.7128000000E+02    0.1344827586E+02
        71    0.3950000000E+03    0.4037454489E+03    0.6979500000E+02    0.1178571429E+02
        72    0.3980000000E+03    0.3952069780E+03    0.7260000000E+02    0.7058823529E+01
        73    0.3780000000E+03    0.3738751166E+03    0.6913500000E+02    0.2608695652E+01
