     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
       131    0.4570000000E+03    0.4598169510E+03    0.1875022222E+03   -0.1029479738E+02   -0.3233400402E+04
       132    0.4820000000E+03    0.4684453777E+03    0.1962355798E+03   -0.1022792322E+02   -0.3232692308E+04
       133    0.4700000000E+03    0.4663547851E+03    0.1900092332E+03   -0.9740438604E+01   -0.3217261905E+04
       134    0.4590000000E+03    0.4532926231E+03    0.1875022222E+03   -0.1042003969E+02   -0.3360906217E+04
       135    0.4900000000E+03    0.4779190272E+03    0.1962355798E+03   -0.9740438604E+01   -0.3089947090E+04
       136    0.4850000000E+03    0.4682433208E+03    0.1859652496E+03   -0.9467281838E+01   -0.3129120879E+04
       137    0.4830000000E+03    0.4705610840E+03    0.1962355798E+03   -0.9985774245E+01   -0.3219303797E+04
       138    0.5870000000E+03    0.5878656062E+03    0.3009006499E+03   -0.6002491339E+01   -0.3343632959E+04
       139    0.5710000000E+03    0.5860085186E+03    0.3024242234E+03   -0.5715989813E+01   -0.3456302521E+04
       140    0.5780000000E+03    0.5941744691E+03    0.3001330428E+03   -0.5364793041E+01   -0.3276041667E+04
       141    0.5260000000E+03    0.5847014181E+03    0.2938456758E+03   -0.6002491339E+01   -0.3267182131E+04
       142    0.5350000000E+03    0.5379975140E+03    0.2970226320E+03   -0.1237874356E+02   -0.3485789822E+04
       143    0.5720000000E+03    0.5874084748E+03    0.3016643604E+03   -0.6190145817E+01   -0.3343632959E+04
       144    0.5620000000E+03    0.5981839238E+03    0.3016643604E+03   -0.5549785905E+01   -0.3193188086E+04
       145    0.5630000000E+03    0.5783091423E+03    0.2954426945E+03   -0.6891228000E+01   -0.3319047619E+04
       146    0.5830000000E+03    0.5883132430E+03    0.3009006499E+03   -0.5357197441E+01   -0.3423214286E+04
       147    0.5850000000E+03    0.5730432715E+03    0.2970226320E+03   -0.6056510931E+01   -0.3584639498E+04
       148    0.5920000000E+03    0.5828845824E+03    0.2962347699E+03   -0.5369566188E+01   -0.3445016611E+04
       149    0.5730000000E+03    0.5677745961E+03    0.3001330428E+03   -0.9792043660E+01   -0.3248090482E+04
       150    0.5360000000E+03    0.5980151646E+03    0.3031802871E+03   -0.6123649875E+01   -0.3148848684E+04
       151    0.5570000000E+03    0.5519733247E+03    0.3031802871E+03   -0.1091111100E+02   -0.3507099391E+04
       152    0.5520000000E+03    0.5366306587E+03    0.2461914408E+03   -0.6002491339E+01   -0.3343632959E+04
       153    0.5190000000E+03    0.5345141492E+03    0.2474380010E+03   -0.5715989813E+01   -0.3456302521E+04
       154    0.5240000000E+03    0.5430702235E+03    0.2455633987E+03   -0.5364793041E+01   -0.3276041667E+04
       155    0.5080000000E+03    0.5346677349E+03    0.2404191893E+03   -0.6002491339E+01   -0.3267182131E+04
       156    0.4900000000E+03    0.4874228842E+03    0.2430185171E+03   -0.1237874356E+02   -0.3485789822E+04
       157    0.5500000000E+03    0.5360434888E+03    0.2468162949E+03   -0.6190145817E+01   -0.3343632959E+04
       158    0.5150000000E+03    0.5468189378E+03    0.2468162949E+03   -0.5549785905E+01   -0.3193188086E+04
       159    0.5300000000E+03    0.5280035317E+03    0.2417258410E+03   -0.6891228000E+01   -0.3319047619E+04
       160    0.5460000000E+03    0.5370782955E+03    0.2461914408E+03   -0.5357197441E+01   -0.3423214286E+04
       161    0.5350000000E+03    0.5224686417E+03    0.2430185171E+03   -0.6056510931E+01   -0.3584639498E+04
       162    0.5500000000E+03    0.5324441034E+03    0.2423739026E+03   -0.5369566188E+01   -0.3445016611E+04
       163    0.5420000000E+03    0.5166703506E+03    0.2455633987E+03   -0.9792043660E+01   -0.3248090482E+04
       164    0.5920000000E+03    0.5463920588E+03    0.2480565986E+03   -0.6123649875E+01   -0.3148848684E+04
       165    0.5240000000E+03    0.5003502189E+03    0.2480565986E+03   -0.1091111100E+02   -0.3507099391E+04
       166    0.4970000000E+03    0.4853957111E+03    0.1914822317E+03   -0.6002491339E+01   -0.3343632959E+04
       167    0.4910000000E+03    0.4830197799E+03    0.1924517786E+03   -0.5715989813E+01   -0.3456302521E+04
       168    0.4630000000E+03    0.4919659779E+03    0.1909937545E+03   -0.5364793041E+01   -0.3276041667E+04
       169    0.4640000000E+03    0.4846340517E+03    0.1869927028E+03   -0.6002491339E+01   -0.3267182131E+04
       170    0.4590000000E+03    0.4368482545E+03    0.1890144022E+03   -0.1237874356E+02   -0.3485789822E+04
       171    0.4890000000E+03    0.4846785027E+03    0.1919682293E+03   -0.6190145817E+01   -0.3343632959E+04
       172    0.4770000000E+03    0.4954539517E+03    0.1919682293E+03   -0.5549785905E+01   -0.3193188086E+04
       173    0.4690000000E+03    0.4776979209E+03    0.1880089874E+03   -0.6891228000E+01   -0.3319047619E+04
       174    0.4960000000E+03    0.4858433479E+03    0.1914822317E+03   -0.5357197441E+01   -0.3423214286E+04
       175    0.4670000000E+03    0.4718940119E+03    0.1890144022E+03   -0.6056510931E+01   -0.3584639498E+04
       176    0.5110000000E+03    0.4820036245E+03    0.1885130354E+03   -0.5369566188E+01   -0.3445016611E+04
       177    0.4900000000E+03    0.4655661050E+03    0.1909937545E+03   -0.9792043660E+01   -0.3248090482E+04
       178    0.5230000000E+03    0.4947689529E+03    0.1929329100E+03   -0.6123649875E+01   -0.3148848684E+04
       179    0.4760000000E+03    0.4487271130E+03    0.1929329100E+03   -0.1091111100E+02   -0.3507099391E+04
       180    0.6100000000E+03    0.6143436661E+03    0.3001330428E+03   -0.4324595017E+01   -0.2972466683E+04
       181    0.5810000000E+03    0.5905015210E+03    0.2946463492E+03   -0.6891228000E+01   -0.3031740105E+04
       182    0.6250000000E+03    0.6246913749E+03    0.3024242234E+03   -0.3659272707E+01   -0.2882630814E+04
       183    0.5620000000E+03    0.6018262004E+03    0.2954426945E+03   -0.5047092442E+01   -0.3052659574E+04
       184    0.6350000000E+03    0.6109819687E+03    0.2970226320E+03   -0.4458993566E+01   -0.2963787954E+04
       185    0.5660000000E+03    0.6025381532E+03    0.2954426945E+03   -0.5034347575E+01   -0.3038617886E+04
       186    0.6380000000E+03    0.6024511352E+03    0.3046812041E+03   -0.6061741313E+01   -0.3090144231E+04
       187    0.6060000000E+03    0.5931756758E+03    0.2954426945E+03   -0.4729235601E+01   -0.3288851351E+04
       188    0.5820000000E+03    0.6024529614E+03    0.3069052332E+03   -0.7274074000E+01   -0.2968167702E+04
       189    0.6340000000E+03    0.6111468220E+03    0.3016643604E+03   -0.5096844127E+01   -0.2968167702E+04
       190    0.5850000000E+03    0.5805417386E+03    0.2978063365E+03   -0.8599805745E+01   -0.3081593407E+04
       191    0.6030000000E+03    0.6092987708E+03    0.3009006499E+03   -0.5331901389E+01   -0.2960714286E+04
